seed	num_customers	loc_range	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime	ppo_without_gbd_ofv	ppo_without_gbd_lb	ppo_without_gbd_gap	ppo_without_gbd_runtime	ppo_without_gan_ofv	ppo_without_gan_lb	ppo_without_gan_gap	ppo_without_gan_runtime	ppo_dual_agent_ofv	ppo_dual_agent_lb	ppo_dual_agent_gap	ppo_dual_agent_runtime
1022	20	((0, 0), (30, 30))	533.8680786	530.3204109	0.006645214	288.378612	—	—	—	—	533.8680786	530.3204109	0.006645214	327.7636724	534.9473622	530.3204109	0.008649358	547.3640831
1071	20	((0, 0), (30, 30))	526.3106092	520.8909207	0.01029751	386.9383764	—	—	—	—	526.3106092	520.8909207	0.01029751	417.7050667	527.5935647	520.8909207	0.012704181	1038.949711
1045	20	((0, 0), (30, 30))	547.8477719	543.7703493	0.00744262	150.2204614	—	—	—	—	547.8477719	543.7703493	0.00744262	165.5716183	548.2306325	543.7703493	0.008135779	289.3116746
1053	20	((0, 0), (30, 30))	528.5443935	525.2162947	0.006296725	172.9109731	—	—	—	—	528.5443935	525.2162947	0.006296725	186.8382483	528.9927871	525.2162947	0.007139024	735.4338758
1048	20	((0, 0), (30, 30))	539.4741438	536.6506499	0.005233789	88.44101524	—	—	—	—	539.4741438	536.6506499	0.005233789	91.54147553	540.0768997	536.5918403	0.006452895	305.7447553
Average			535.2089994	531.3697251	0.007183172	217.3778876	—	—	—	—	535.2089994	531.3697251	0.007183172	237.8840162	535.9682492	531.3579632	0.008616247	583.3608199
1032	20	((0, 0), (50, 50))	582.6261738	580.2351696	0.004103839	51.30333948	—	—	—	—	582.6261738	580.2351696	0.004103839	85.57029343	583.6596143	580.2351696	0.005867195	54.67330837
1052	20	((0, 0), (50, 50))	565.909116	562.4119909	0.006179658	105.0695398	—	—	—	—	565.909116	562.4119909	0.006179658	115.4919751	567.0635967	562.4119909	0.00820297	178.1765232
1031	20	((0, 0), (50, 50))	596.7099956	593.4010001	0.0055454	107.9434524	—	—	—	—	596.7099956	593.4010001	0.0055454	124.9625289	596.7577018	593.4010001	0.005624899	128.2440679
1045	20	((0, 0), (50, 50))	586.1446955	581.8815715	0.00727316	92.88385201	—	—	—	—	586.1446955	581.8815715	0.00727316	109.2571659	586.8247461	581.8815715	0.008423596	127.6027317
1000	20	((0, 0), (50, 50))	577.0447526	573.2488267	0.006578217	129.9428048	—	—	—	—	577.0447526	573.2488267	0.006578217	144.3592699	577.7252877	572.743471	0.008623159	144.6346488
Average			581.6869467	578.2357118	0.005936055	97.42859769	—	—	—	—	581.6869467	578.2357118	0.005936055	115.9282466	582.4061893	578.1346406	0.007348364	126.666256
1021	20	((0, 0), (100, 100))	662.1349436	659.53792	0.003922197	27.25660014	—	—	—	—	662.1349436	659.53792	0.003922197	61.11582422	663.076139	658.9423096	0.006234321	36.60757565
1099	20	((0, 0), (100, 100))	645.7048856	641.2796168	0.006853392	43.56145597	—	—	—	—	645.7048856	641.2796168	0.006853392	66.15628767	645.9315875	641.2796168	0.007201956	51.2848146
1077	20	((0, 0), (100, 100))	689.1333747	685.8075724	0.004826065	100.3929076	—	—	—	—	689.1333747	685.8075724	0.004826065	110.6872375	689.6132598	685.7986766	0.005531482	275.6943343
1039	20	((0, 0), (100, 100))	651.5489713	645.2724414	0.009633243	81.89533162	—	—	—	—	651.5489713	645.2724414	0.009633243	90.01524258	651.8581583	645.1538908	0.010284856	100.3829737
1084	20	((0, 0), (100, 100))	665.8926005	662.5436963	0.005029196	67.87933159	—	—	—	—	665.8926005	662.5436963	0.005029196	69.54874039	666.5109506	662.1893728	0.006483881	181.9577568
Average			662.8829551	658.8882494	0.006052819	64.19712539	—	—	—	—	662.8829551	658.8882494	0.006052819	79.50466647	663.398019	658.6727733	0.007147299	129.185491
