seed	num_customers	loc_range	cetsp_ofv	cetsp_lb	cetsp_gap	cetsp_runtime	cetspst_ofv	cetspst_lb	cetspst_gap	cetspst_runtime
1083	10	((0, 0), (30, 30))	290.5996737	289.9831594	0.014538712	3843.159747	283.4184644	281.1688866	0.007937301	18.2203846
1044	10	((0, 0), (30, 30))	305.5067686	304.9544262	0.013198443	3935.147182	298.8843625	297.0276769	0.006212053	13.34725547
1007	10	((0, 0), (30, 30))	307.3920375	307.0007974	0.008534048	3903.132248	299.9031139	298.2010555	0.005675361	52.26460505
1000	10	((0, 0), (30, 30))	290.7735096	290.2761972	0.010389453	3592.482978	285.195818	284.1159861	0.003786282	174.5212924
1066	10	((0, 0), (30, 30))	301.4824241	301.0616173	0.009243382	1569.795523	296.5217547	295.2095492	0.004425326	11.60984492
Average			299.1508827	298.6552395	0.011180807	3368.743536	292.7847027	291.1446308	0.005607265	53.9926765
1031	10	((0, 0), (50, 50))	345.7384477	345.253231	0.005468599	3597.710959	339.9619298	338.51762	0.004248446	6.84799242
1085	10	((0, 0), (50, 50))	321.4945953	320.4535587	0.013781026	3607.675698	316.2620248	314.1525669	0.006669969	7.631948233
1007	10	((0, 0), (50, 50))	343.5377858	343.064031	0.005778176	3874.026826	336.9498228	334.5530634	0.007113105	19.457968
1062	10	((0, 0), (50, 50))	320.3938457	319.3209059	0.013083796	1395.032596	313.2026228	311.5933035	0.005138269	13.57836628
1025	10	((0, 0), (50, 50))	311.4593283	310.0831652	0.017879615	3941.844159	302.5952368	300.7367231	0.006141913	53.78737545
Average			328.5248006	327.6349784	0.011198242	3283.258048	321.7943274	319.9106554	0.00586234	20.26073008
1028	10	((0, 0), (100, 100))	404.5791848	403.3270671	0.008207383	2008.179604	399.5706702	397.0591028	0.006285665	14.74913836
1059	10	((0, 0), (100, 100))	398.00293	397.2049565	0.005645357	3388.686959	390.3793381	388.7312891	0.004221661	15.80939484
1079	10	((0, 0), (100, 100))	405.4290533	404.5693751	0.005775042	161.8606174	400.8517079	399.4727062	0.003440179	6.663127184
1000	10	((0, 0), (100, 100))	403.7047691	402.8477358	0.005329866	302.3045156	398.518824	396.4244352	0.005255433	7.86060977
1022	10	((0, 0), (100, 100))	395.0426153	394.165938	0.006153223	2787.532949	388.1903462	385.8705005	0.005976052	9.277593374
Average			401.3517105	400.4230145	0.006222174	1729.712929	395.5021773	393.5116067	0.005035798	10.8719727

