seed	num_customers	loc_range	cetsp_ofv	cetsp_lb	cetsp_gap	cetsp_runtime	cetspst_ofv	cetspst_lb	cetspst_gap	cetspst_runtime
1045	15	((0, 0), (30, 30))	438.0789773	437.4071921	0.017069415	1614.432525	427.2165616	424.1344405	0.007214423	67.71272326
1088	15	((0, 0), (30, 30))	398.3136786	397.3209773	0.020106065	1941.478372	387.6526024	385.3555371	0.005925577	93.5448935
1083	15	((0, 0), (30, 30))	418.5684644	418.3680681	0.004187608	2238.084416	406.845441	403.0203852	0.009401742	1422.550055
1067	15	((0, 0), (30, 30))	419.7267385	418.3280961	0.025785732	4127.122003	408.0176068	405.2479457	0.006788092	103.3878355
1099	15	((0, 0), (30, 30))	410.1166739	408.7933454	0.032192544	1859.332191	400.44235	397.6383146	0.007002345	134.8517225
Average			416.9609066	416.0435358	0.019868273	2356.089901	406.0349124	403.0793246	0.007266436	364.409446
1051	15	((0, 0), (50, 50))	469.5188928	467.7710353	0.018901451	3469.015169	457.9827889	454.9303616	0.006664939	51.98075819
1031	15	((0, 0), (50, 50))	484.8971419	483.454531	0.014865402	1850.016079	472.7283505	470.4672747	0.004783034	36.37842894
1099	15	((0, 0), (50, 50))	441.1925887	439.7504471	0.019979077	2272.424227	429.2534654	425.9291411	0.007744432	71.55040717
1087	15	((0, 0), (50, 50))	441.112772	440.2224625	0.011392286	5758.219399	429.5651361	426.1671379	0.007910321	195.7197366
1021	15	((0, 0), (50, 50))	445.6824356	444.7582397	0.011404655	2055.082533	436.5502751	433.3597214	0.00730856	35.26482868
Average			456.4807662	455.1913431	0.015308574	3080.951481	445.2160032	442.1707273	0.006882257	78.17883191
1000	15	((0, 0), (100, 100))	555.8276531	554.9313966	0.004735788	3691.538738	547.7783688	544.5638177	0.005868342	27.46909428
1030	15	((0, 0), (100, 100))	540.1203987	537.5883149	0.015943189	2335.57141	530.9494758	526.8879279	0.007649594	80.69703555
1004	15	((0, 0), (100, 100))	573.8015846	570.9795572	0.015525704	1744.259297	559.9551236	556.9285857	0.005404965	21.80285335
1054	15	((0, 0), (100, 100))	559.2147208	557.9744908	0.00688577	4239.034179	549.0708742	546.3565545	0.004943478	24.2202332
1079	15	((0, 0), (100, 100))	565.8406805	564.4062917	0.007834846	1505.691202	556.220457	553.5836809	0.004740523	22.93813109
Average			558.9610075	557.1760102	0.01018506	2703.218965	548.7948599	545.6641134	0.005721381	35.42546949
