seed	num_customers	loc_range	cetsp_ofv	cetsp_lb	cetsp_gap	cetsp_runtime	cetspst_ofv	cetspst_lb	cetspst_gap	cetspst_runtime
1001	20	((0, 0), (30, 30))	571.0325889	569.4529927	0.028857205	7201.494467	554.4578417	550.588717	0.006978213	504.075424
1036	20	((0, 0), (30, 30))	556.60297	554.7816307	0.034902529	2260.358324	542.8128198	539.7554583	0.005632442	214.0399392
1049	20	((0, 0), (30, 30))	551.5864994	549.618924	0.034589937	3349.529665	536.2038017	531.5698928	0.008642066	314.5424302
1022	20	((0, 0), (30, 30))	549.9122678	549.5632774	0.006736175	2544.906755	533.8680786	530.3204109	0.006645214	288.378612
1005	20	((0, 0), (30, 30))	553.2499048	551.7430581	0.029085453	3260.468316	538.3353305	533.1815191	0.009573608	232.3727486
Average			556.4768462	555.0319766	0.02683426	3723.351505	541.1355745	537.0831996	0.007494309	310.6818308
1031	20	((0, 0), (50, 50))	611.8157567	610.7776638	0.010183507	1774.668959	596.7099956	593.4010001	0.0055454	107.9434524
1064	20	((0, 0), (50, 50))	590.6039573	589.8736235	0.008536421	4720.240414	570.8213107	566.2829358	0.007950605	71.26150489
1070	20	((0, 0), (50, 50))	593.1424721	591.786618	0.014780683	1719.216323	580.3976937	575.5911249	0.008281509	94.26809716
1020	20	((0, 0), (50, 50))	558.1520691	556.7198826	0.018476381	2622.86261	542.2314359	539.1032227	0.005769148	281.7969704
1029	20	((0, 0), (50, 50))	626.6149898	625.5783724	0.010420281	1569.185222	613.1115253	610.1424322	0.004842664	37.14532685
Average			596.065849	594.9472321	0.012479455	2481.234706	580.6543922	576.9041431	0.006477865	118.4830703
1077	20	((0, 0), (100, 100))	702.1073203	699.3272507	0.013224485	5160.46926	689.1333747	685.8075724	0.004826065	100.3929076
1039	20	((0, 0), (100, 100))	664.9270752	662.7716517	0.012959931	3361.818905	651.5489713	645.2724414	0.009633243	81.89533162
1089	20	((0, 0), (100, 100))	701.0399641	699.0430698	0.010143754	2038.090089	686.8323662	683.899014	0.004270841	37.40695357
1078	20	((0, 0), (100, 100))	699.26647	697.6663779	0.00835418	1609.489756	683.8627729	680.4173482	0.005038181	40.81058693
1067	20	((0, 0), (100, 100))	703.1169462	700.6536572	0.011741186	7201.890231	686.9764163	683.4356065	0.005154194	73.65014219
Average			694.0915552	691.8924014	0.011284707	3874.351648	679.6707803	675.7663965	0.005784505	66.83118439
