seed	num_customers	loc_range	gurobi_ofv	gurobi_lb	gurobi_gap	gurobi_runtime	BB_ofv	BB_lb	BB_gap	BB_runtime	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime
1017	20	((0, 0), (30, 30))	541.758816	520.8488057	0.03859653	3601.103	541.6518944	187.8001052	0.653282658	3600.007504	527.4020519	524.4876971	0.005525869	377.1236355
1098	20	((0, 0), (30, 30))	596.8815439	527.5176678	0.116210455	3602.423	550.9788572	189.4176605	0.6562161	3670.008063	533.9108639	531.3785901	0.004742878	303.879957
1062	20	((0, 0), (30, 30))	602.0281443	509.8472555	0.153117242	3602.056	543.3568022	187.5624732	0.654807904	3600.034113	517.9692024	515.6906565	0.004398999	217.080534
1072	20	((0, 0), (30, 30))	552.8418111	514.3398403	0.069643739	3601.493	535.6553831	191.0914727	0.643256693	4657.539766	521.5363309	518.8787918	0.005095597	1241.875863
1081	20	((0, 0), (30, 30))	550.9588171	534.1395381	0.030527289	3601.462	559.8179357	200.5163982	0.641818553	3855.890086	540.4895789	538.0051103	0.0045967	388.5639663
Average			568.8938265	521.3386215	0.081619051	3601.7074	546.2921745	191.277622	0.649876382	3876.695906	528.2616056	525.6881692	0.004872009	505.7047912
1001	20	((0, 0), (50, 50))	755.6450813	581.1830855	0.230878226	3602.978	594.7307933	239.8343408	0.596734618	5075.677766	589.6514736	587.3809997	0.003850535	224.7708328
1004	20	((0, 0), (50, 50))	756.1027141	569.3408923	0.247005887	3603.479	617.3655255	219.6953753	0.644140519	3655.143265	578.6502731	576.1917592	0.004248704	79.14172292
1035	20	((0, 0), (50, 50))	713.4660714	483.8162004	0.321879176	3603.919	565.3435402	225.0252503	0.601967239	4854.896258	560.2693934	557.5232728	0.004901429	141.5650246
1047	20	((0, 0), (50, 50))	654.7021623	535.5499838	0.181994478	3606.721	589.1307712	224.1250254	0.619566595	5127.273231	550.0367938	547.1243209	0.005295051	126.6047387
1052	20	((0, 0), (50, 50))	694.1364223	560.9637499	0.191853745	3601.525	600.6517948	218.1907719	0.636743328	3600.000815	571.3768852	569.0354135	0.004097946	96.36844492
Average			714.8104903	546.1707824	0.234722303	3603.7244	593.444485	225.3741527	0.61983046	4462.598267	569.9969638	567.4511532	0.004478733	133.6901528
1005	20	((0, 0), (100, 100))	3800026.5	663.1267992	0.999825494	3602.6	735.4691074	295.4255188	0.598316889	4108.999769	689.9372825	687.0304385	0.0042132	82.68585062
1085	20	((0, 0), (100, 100))	3900014.463	616.7810652	0.999841852	3603.309	674.60515	285.2276969	0.577193123	3892.702666	644.5424121	641.3304752	0.004983283	148.8861501
1053	20	((0, 0), (100, 100))	3800031.96	649.7875663	0.999823742	3604.834	706.9265349	286.0861111	0.595309984	4219.366804	663.3951992	660.8546862	0.003829562	38.12663531
1062	20	((0, 0), (100, 100))	3700055.39	641.205001	0.999826704	3601.639	746.0624193	294.6031052	0.605122712	4374.064515	660.5359063	657.928734	0.003947056	105.1184001
1031	20	((0, 0), (100, 100))	3800036.433	642.8531231	0.99983083	3603.57	749.7919187	288.4005103	0.615359271	3600.011286	673.4925993	670.9748428	0.003738358	142.901176
Average			3800032.949	642.750711	0.999829724	3603.1904	722.5710261	289.9485885	0.598260396	4039.029008	666.3806799	663.6238353	0.004142292	103.5436424
