seed	num_customers	loc_range	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime	ppo_without_gbd_ofv	ppo_without_gbd_lb	ppo_without_gbd_gap	ppo_without_gbd_runtime	ppo_without_gan_ofv	ppo_without_gan_lb	ppo_without_gan_gap	ppo_without_gan_runtime	ppo_dual_agent_ofv	ppo_dual_agent_lb	ppo_dual_agent_gap	ppo_dual_agent_runtime
1079	15	((0, 0), (30, 30))	422.6301882	420.2884405	0.005540891	103.4493613	—	—	—	—	422.6301882	420.2884405	0.005540891	111.9119418	422.8838768	419.8284716	0.007225164	210.8170838
1032	15	((0, 0), (30, 30))	415.6257807	412.2931383	0.008018373	26.90189648	—	—	—	—	415.6257807	412.2931383	0.008018373	27.82766223	415.8907434	411.9920829	0.009374242	43.0308795
1094	15	((0, 0), (30, 30))	413.3865883	410.5117055	0.006954466	35.77547145	—	—	—	—	413.3865883	410.5117055	0.006954466	36.10832834	413.4662545	410.1371581	0.008051676	49.94780302
1003	15	((0, 0), (30, 30))	398.233696	395.2514941	0.007488573	503.3948519	—	—	—	—	398.233696	395.2514941	0.007488573	533.1795018	398.233696	395.1666166	0.007701707	587.3375158
1059	15	((0, 0), (30, 30))	416.7557266	413.7311587	0.007257412	1005.141361	—	—	—	—	416.7557266	413.7311587	0.007257412	1161.308715	416.8749902	413.7311587	0.007541425	1440.380658
Average			413.3263959	410.4151874	0.007051943	334.9325884	—	—	—	—	413.3263959	410.4151874	0.007051943	374.0672299	413.4699122	410.1710976	0.007978843	466.3027881
1024	15	((0, 0), (50, 50))	472.2938404	470.362449	0.004089385	9.921629667	—	—	—	—	472.2938404	470.362449	0.004089385	10.29494691	472.5932992	469.9807721	0.005528066	10.51770639
1089	15	((0, 0), (50, 50))	455.1049052	452.1941282	0.006395837	16.53638697	—	—	—	—	455.1049052	452.1941282	0.006395837	16.96165919	455.5347255	452.2841895	0.007135649	23.39408231
1062	15	((0, 0), (50, 50))	446.6975517	443.6687914	0.006780338	65.13290453	—	—	—	—	446.6975517	443.6687914	0.006780338	67.42987013	446.6975517	443.0643303	0.008133515	67.76510811
1048	15	((0, 0), (50, 50))	439.3987211	437.7509442	0.003750072	8.012464046	—	—	—	—	439.3987211	437.7509442	0.003750072	9.271222115	439.3987211	437.0771694	0.005283474	8.779966354
1085	15	((0, 0), (50, 50))	438.9009548	435.5649087	0.007600909	29.48173046	—	—	—	—	438.9009548	435.5649087	0.007600909	29.85007548	438.8213533	435.0375714	0.008622602	41.98333383
Average			450.4791946	447.9082443	0.005723308	25.81702313	—	—	—	—	450.4791946	447.9082443	0.005723308	26.76155477	450.6091302	447.4888065	0.006940661	30.4880394
1022	15	((0, 0), (100, 100))	535.0879283	532.0110589	0.005750213	33.95861864	—	—	—	—	535.0879283	532.0110589	0.005750213	35.25607347	535.7827865	531.7811106	0.00746884	36.81056905
1050	15	((0, 0), (100, 100))	540.2305364	537.2105456	0.005590189	38.34940958	—	—	—	—	540.2305364	537.2105456	0.005590189	39.7629149	540.5090038	537.0547526	0.006390738	39.68135262
1065	15	((0, 0), (100, 100))	519.417573	515.9649617	0.006647082	16.91398954	—	—	—	—	519.417573	515.9649617	0.006647082	17.41847062	519.6720102	515.6300642	0.007777879	25.91366768
1001	15	((0, 0), (100, 100))	553.1870817	549.9529953	0.00584628	49.6738174	—	—	—	—	553.1870817	549.9529953	0.00584628	50.90152907	553.196397	549.520537	0.006644765	54.36352372
1067	15	((0, 0), (100, 100))	555.1548262	552.8641068	0.004126271	42.40287185	—	—	—	—	555.1548262	552.8641068	0.004126271	43.77345467	555.1548262	552.0996461	0.005503294	50.76305699
Average			540.6155891	537.6007337	0.005592007	36.2597414	—	—	—	—	540.6155891	537.6007337	0.005592007	37.42248855	540.8630047	537.2172221	0.006757103	41.50643401
