seed	num_customers	loc_range	gurobi_ofv	gurobi_lb	gurobi_gap	gurobi_runtime	BB_ofv	BB_lb	BB_gap	BB_runtime	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime
1078	10	((0, 0), (30, 30))	284.4482066	284.4482066	0	352.8870001	284.4482212	284.4482212	0	241.8545597	284.5277604	283.5233202	0.003530201	96.84972119
1076	10	((0, 0), (30, 30))	307.8058886	307.8058886	0	80.18099999	307.8057769	307.8057769	0	275.2826445	308.2174326	306.9664994	0.004058606	25.37154746
1074	10	((0, 0), (30, 30))	265.4482648	265.4482648	0	45.23399997	265.4482573	265.4482573	0	179.4945989	266.0874924	264.9656414	0.004216098	30.11697817
1042	10	((0, 0), (30, 30))	299.0182321	299.0182321	0	88.63000011	299.0182266	299.0182266	0	149.7191849	299.7166451	298.6375247	0.003600469	24.32735205
1080	10	((0, 0), (30, 30))	262.3102	262.3102	0	108.0419998	262.3123999	262.3123999	0	283.935266	262.5696937	261.4381286	0.00430958	31.02683997
Average			283.8061584	283.8061584	0	134.9948	283.8065764	283.8065764	0	226.0572508	284.2238048	283.1062229	0.003942991	41.53848777
1004	10	((0, 0), (50, 50))	345.9306236	297.415913	0.140244047	3601.581	339.6137559	339.6137559	0	305.7263498	339.756435	338.9799637	0.002285376	7.961623192
1001	10	((0, 0), (50, 50))	332.2529078	292.1424165	0.12072277	3615.46	324.6170326	324.6170326	0	160.2710464	324.8114793	323.8798827	0.002868115	127.4520667
1085	10	((0, 0), (50, 50))	317.9690712	306.42258	0.036313252	3602.746	307.0218811	307.0218811	0	178.6503632	307.2770163	306.4943872	0.002546982	4.617811203
1051	10	((0, 0), (50, 50))	327.561399	291.5901287	0.109815352	3600.529	323.6107275	323.6107275	0	229.2228754	323.8941337	323.0843512	0.002500146	20.66500044
1039	10	((0, 0), (50, 50))	310.9021454	285.9572888	0.080233787	3600.882	303.8540115	303.8540115	0	48.56169343	304.1036564	302.9402151	0.003825805	23.64142084
Average			326.9232294	294.7056654	0.097465842	3604.2396	319.7434817	319.7434817	0	184.4864656	319.9685441	319.07576	0.002805285	36.86758447
1035	10	((0, 0), (100, 100))	522.1160986	262.3372848	0.497549902	3602.668	381.6566229	381.6566229	0	34.55698204	381.8512308	380.6373307	0.003178987	15.17955589
1028	10	((0, 0), (100, 100))	455.6528554	289.8500786	0.363879596	3601.209	405.63491	405.63491	0	131.4661899	405.7649234	404.6594862	0.002724329	3.174899101
1070	10	((0, 0), (100, 100))	1400160.938	376.8573902	0.999730847	3607.255	380.8596139	380.8596139	0	42.96980691	380.9409565	379.6958921	0.003268392	81.14949322
1011	10	((0, 0), (100, 100))	491.7418948	274.4397758	0.441902798	3603.088	374.8213609	374.8213609	0	84.47735381	374.8296711	373.8766136	0.002542641	3.662155867
1077	10	((0, 0), (100, 100))	505.0507386	282.7088276	0.44023678	3610.005	389.6830845	389.6830845	0	152.9046712	390.0677175	389.1268706	0.002412009	31.88321686
Average			280427.1	297.2386714	0.548659985	3604.845	386.5311184	386.5311184	0	89.27500076	386.6908998	385.5992387	0.002825272	27.00986419
